feature_name,category,feature_type,justification
goes_xrsa_flux,Numerical_Solar,Numerical,Raw solar irradiance measurement; log10 transform applied for dynamic range compression
goes_xrsb_flux,Numerical_Solar,Numerical,Raw solar irradiance measurement; log10 transform applied for dynamic range compression
goes_xrsa_good_flag,Numerical_Solar,Numerical,Raw solar irradiance measurement; log10 transform applied for dynamic range compression
goes_xrsb_good_flag,Numerical_Solar,Numerical,Raw solar irradiance measurement; log10 transform applied for dynamic range compression
goes_xrs_era,Numerical_Solar,Numerical,Raw solar irradiance measurement; log10 transform applied for dynamic range compression
goes_xrs_satellite,Numerical_Solar,Numerical,Raw solar irradiance measurement; log10 transform applied for dynamic range compression
goes_xrsa_flux_log10,Numerical_Solar,Numerical,Raw solar irradiance measurement; log10 transform applied for dynamic range compression
goes_xrsb_flux_log10,Numerical_Solar,Numerical,Raw solar irradiance measurement; log10 transform applied for dynamic range compression
goes_xrsb_minus_xrsa_log10,Numerical_Solar,Numerical,Raw solar irradiance measurement; log10 transform applied for dynamic range compression
omni_bx_gse,Numerical_L1,Numerical,Solar wind plasma and IMF parameters at L1; physics-informed by Dungey cycle coupling
omni_by_gsm,Numerical_L1,Numerical,Solar wind plasma and IMF parameters at L1; physics-informed by Dungey cycle coupling
omni_bz_gsm,Numerical_L1,Numerical,Solar wind plasma and IMF parameters at L1; physics-informed by Dungey cycle coupling
omni_f,Numerical_L1,Numerical,Solar wind plasma and IMF parameters at L1; physics-informed by Dungey cycle coupling
omni_vx,Numerical_L1,Numerical,Solar wind plasma and IMF parameters at L1; physics-informed by Dungey cycle coupling
omni_proton_density,Numerical_L1,Numerical,Solar wind plasma and IMF parameters at L1; physics-informed by Dungey cycle coupling
omni_pressure,Numerical_L1,Numerical,Solar wind plasma and IMF parameters at L1; physics-informed by Dungey cycle coupling
goes_bz_gsm,Numerical_GEO,Numerical,Geostationary magnetic field; provides mid-path propagation info
goes_bt,Numerical_GEO,Numerical,Geostationary magnetic field; provides mid-path propagation info
goes_bx_gsm,Numerical_GEO,Numerical,Geostationary magnetic field; provides mid-path propagation info
goes_by_gsm,Numerical_GEO,Numerical,Geostationary magnetic field; provides mid-path propagation info
goes_satellite,Numerical_GEO,Numerical,Geostationary magnetic field; provides mid-path propagation info
leo_high_lat,Numerical_LEO,Numerical,Swarm LEO RC index and FAC proxies; ionospheric current system indicators
leo_mid_lat,Numerical_LEO,Numerical,Swarm LEO RC index and FAC proxies; ionospheric current system indicators
leo_dayside,Numerical_LEO,Numerical,Swarm LEO RC index and FAC proxies; ionospheric current system indicators
leo_nightside,Numerical_LEO,Numerical,Swarm LEO RC index and FAC proxies; ionospheric current system indicators
ABK_b_e,Numerical_Ground,Numerical,Ground magnetometer components; direct local geomagnetic field measurement
BJN_b_e,Numerical_Ground,Numerical,Ground magnetometer components; direct local geomagnetic field measurement
TRO_b_e,Numerical_Ground,Numerical,Ground magnetometer components; direct local geomagnetic field measurement
ABK_b_n,Numerical_Ground,Numerical,Ground magnetometer components; direct local geomagnetic field measurement
BJN_b_n,Numerical_Ground,Numerical,Ground magnetometer components; direct local geomagnetic field measurement
TRO_b_n,Numerical_Ground,Numerical,Ground magnetometer components; direct local geomagnetic field measurement
ABK_b_z,Numerical_Ground,Numerical,Ground magnetometer components; direct local geomagnetic field measurement
